Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,IncomeRatio,LoanAmountRatio,Gender_encoded,Married_encoded,Dependents_encoded,Education_encoded,Self_Employed_encoded,Property_Area_encoded,Loan_Status_encoded
LP001,Male,No,2,Not Graduate,No,2120,2949,183,60,1,Semiurban,Y,5069,27.69945355191257,3.05,1,0,2,1,0,1,1
LP002,Female,Yes,3+,Not Graduate,Yes,5956,3168,84,360,1,Urban,N,9124,108.61904761904762,0.23333333333333334,0,1,3,1,1,2,0
LP003,Male,Yes,1,Not Graduate,Yes,6292,516,621,120,0,Rural,Y,6808,10.962962962962964,5.175,1,1,1,1,1,0,1
LP004,Male,Yes,3+,Not Graduate,Yes,3972,2616,671,300,0,Urban,Y,6588,9.818181818181818,2.236666666666667,1,1,3,1,1,2,1
LP005,Male,Yes,3+,Graduate,No,2969,887,408,360,0,Rural,Y,3856,9.450980392156863,1.1333333333333333,1,1,3,0,0,0,1
LP006,Female,Yes,2,Graduate,No,1052,3104,79,120,1,Rural,Y,4156,52.607594936708864,0.6583333333333333,0,1,2,0,0,0,1
LP007,Male,No,3+,Not Graduate,No,514,49,188,360,1,Rural,Y,563,2.99468085106383,0.5222222222222223,1,0,3,1,0,0,1
LP008,Male,Yes,2,Graduate,No,4408,3951,132,36,0,Semiurban,Y,8359,63.32575757575758,3.6666666666666665,1,1,2,0,0,1,1
LP009,Male,No,0,Not Graduate,No,3269,3560,389,360,1,Rural,Y,6829,17.555269922879177,1.0805555555555555,1,0,0,1,0,0,1
LP010,Female,No,0,Graduate,No,2708,18,301,84,1,Semiurban,N,2726,9.056478405315614,3.5833333333333335,0,0,0,0,0,1,0
LP011,Male,Yes,2,Not Graduate,No,7646,1473,203,180,1,Rural,Y,9119,44.92118226600985,1.1277777777777778,1,1,2,1,0,0,1
LP012,Male,Yes,0,Not Graduate,Yes,2013,4061,236,180,0,Semiurban,Y,6074,25.73728813559322,1.3111111111111111,1,1,0,1,1,1,1
LP013,Male,No,1,Graduate,No,265,2606,439,180,1,Semiurban,N,2871,6.539863325740319,2.438888888888889,1,0,1,0,0,1,0
LP014,Male,Yes,3+,Graduate,Yes,7234,451,444,36,0,Semiurban,Y,7685,17.30855855855856,12.333333333333334,1,1,3,0,1,1,1
LP015,Female,Yes,1,Not Graduate,Yes,2534,3765,469,240,0,Urban,Y,6299,13.430703624733475,1.9541666666666666,0,1,1,1,1,2,1
LP016,Male,No,3+,Not Graduate,No,5126,2438,626,180,1,Rural,Y,7564,12.083067092651758,3.477777777777778,1,0,3,1,0,0,1
LP017,Female,No,0,Graduate,No,7030,1549,29,12,0,Urban,Y,8579,295.82758620689657,2.4166666666666665,0,0,0,0,0,2,1
LP018,Female,Yes,1,Graduate,Yes,4085,3474,72,36,1,Rural,Y,7559,104.98611111111111,2.0,0,1,1,0,1,0,1
LP019,Female,No,0,Not Graduate,Yes,5085,127,173,240,0,Rural,Y,5212,30.127167630057805,0.7208333333333333,0,0,0,1,1,0,1
LP020,Male,Yes,3+,Graduate,No,6440,2761,35,12,0,Urban,Y,9201,262.8857142857143,2.9166666666666665,1,1,3,0,0,2,1
LP021,Female,Yes,2,Not Graduate,No,7892,1415,319,12,1,Semiurban,Y,9307,29.17554858934169,26.583333333333332,0,1,2,1,0,1,1
LP022,Male,Yes,2,Not Graduate,Yes,5592,201,293,12,0,Rural,Y,5793,19.77133105802048,24.416666666666668,1,1,2,1,1,0,1
LP023,Female,No,1,Not Graduate,No,2640,2369,668,300,0,Semiurban,Y,5009,7.498502994011976,2.2266666666666666,0,0,1,1,0,1,1
LP024,Female,No,0,Not Graduate,No,7130,517,289,84,0,Urban,N,7647,26.46020761245675,3.4404761904761907,0,0,0,1,0,2,0
LP025,Female,No,0,Graduate,No,5282,1341,172,84,1,Semiurban,N,6623,38.50581395348837,2.0476190476190474,0,0,0,0,0,1,0
LP026,Female,No,1,Graduate,Yes,1092,1988,232,36,1,Rural,N,3080,13.275862068965518,6.444444444444445,0,0,1,0,1,0,0
LP027,Female,No,2,Graduate,Yes,7811,3545,154,12,0,Rural,Y,11356,73.74025974025975,12.833333333333334,0,0,2,0,1,0,1
LP028,Female,Yes,3+,Graduate,Yes,1874,3802,38,360,0,Rural,Y,5676,149.3684210526316,0.10555555555555556,0,1,3,0,1,0,1
LP029,Female,Yes,1,Graduate,No,2484,3275,53,240,0,Urban,Y,5759,108.66037735849056,0.22083333333333333,0,1,1,0,0,2,1
LP030,Female,Yes,3+,Graduate,No,2917,3654,479,84,1,Rural,Y,6571,13.718162839248434,5.7023809523809526,0,1,3,0,0,0,1
